C804  F0 04     BEQ $C80A                       A:64 X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 02
C80A  EA        NOP                             A:64 X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 02
C80B  A9 80     LDA #$80                        A:64 X:00 Y:00 P:67 SP:FB STACK: 00 00 C6 02
C80D  85 01     STA $01 = 40                    A:80 X:00 Y:00 P:E5 SP:FB STACK: 00 00 C6 02
C80F  24 01     BIT $01 = 80                    A:80 X:00 Y:00 P:E5 SP:FB STACK: 00 00 C6 02
C811  F8        SED                             A:80 X:00 Y:00 P:A5 SP:FB STACK: 00 00 C6 02
C812  A9 00     LDA #$00                        A:80 X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C814  38        SEC                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C815  08        PHP                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C816  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA STACK: 00 00 C6 02 3F
C817  29 EF     AND #$EF                        A:3F X:00 Y:00 P:2D SP:FB STACK: 00 00 C6 02
C819  C9 2F     CMP #$2F                        A:2F X:00 Y:00 P:2D SP:FB STACK: 00 00 C6 02
C81B  F0 04     BEQ $C821                       A:2F X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C821  EA        NOP                             A:2F X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C822  A9 FF     LDA #$FF                        A:2F X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C824  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C825  28        PLP                             A:FF X:00 Y:00 P:AD SP:FA STACK: 00 00 C6 02 FF
C826  D0 09     BNE $C831                       A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C828  10 07     BPL $C831                       A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C82A  50 05     BVC $C831                       A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C82C  90 03     BCC $C831                       A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C82E  4C 35 C8  JMP $C835                       A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C835  EA        NOP                             A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C836  A9 04     LDA #$04                        A:FF X:00 Y:00 P:EF SP:FB STACK: 00 00 C6 02
C838  48        PHA                             A:04 X:00 Y:00 P:6D SP:FB STACK: 00 00 C6 02
C839  28        PLP                             A:04 X:00 Y:00 P:6D SP:FA STACK: 00 00 C6 02 04
C83A  F0 09     BEQ $C845                       A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C83C  30 07     BMI $C845                       A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C83E  70 05     BVS $C845                       A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C840  B0 03     BCS $C845                       A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C842  4C 49 C8  JMP $C849                       A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C849  EA        NOP                             A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C84A  F8        SED                             A:04 X:00 Y:00 P:24 SP:FB STACK: 00 00 C6 02
C84B  A9 FF     LDA #$FF                        A:04 X:00 Y:00 P:2C SP:FB STACK: 00 00 C6 02
C84D  85 01     STA $01 = 80                    A:FF X:00 Y:00 P:AC SP:FB STACK: 00 00 C6 02
C84F  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:AC SP:FB STACK: 00 00 C6 02
C851  18        CLC                             A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 02
C852  A9 00     LDA #$00                        A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 02
C854  48        PHA                             A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C855  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:6E SP:FA STACK: 00 00 C6 02 00
C857  68        PLA                             A:FF X:00 Y:00 P:EC SP:FA STACK: 00 00 C6 02 00
C858  D0 09     BNE $C863                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C85A  30 07     BMI $C863                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C85C  50 05     BVC $C863                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C85E  B0 03     BCS $C863                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C860  4C 67 C8  JMP $C867                       A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C867  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C868  A9 00     LDA #$00                        A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C86A  85 01     STA $01 = FF                    A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C86C  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:6E SP:FB STACK: 00 00 C6 02
C86E  38        SEC                             A:00 X:00 Y:00 P:2E SP:FB STACK: 00 00 C6 02
C86F  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 02
C871  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C872  A9 00     LDA #$00                        A:FF X:00 Y:00 P:AD SP:FA STACK: 00 00 C6 02 FF
C874  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA STACK: 00 00 C6 02 FF
C875  F0 09     BEQ $C880                       A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C877  10 07     BPL $C880                       A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C879  70 05     BVS $C880                       A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C87B  90 03     BCC $C880                       A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C87D  4C 84 C8  JMP $C884                       A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C884  60        RTS                             A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 02
C603  20 85 C8  JSR $C885                       A:FF X:00 Y:00 P:AD SP:FD STACK: 00 00
C885  EA        NOP                             A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C886  18        CLC                             A:FF X:00 Y:00 P:AD SP:FB STACK: 00 00 C6 05
C887  A9 FF     LDA #$FF                        A:FF X:00 Y:00 P:AC SP:FB STACK: 00 00 C6 05
C889  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB STACK: 00 00 C6 05
C88B  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:AC SP:FB STACK: 00 00 C6 05
C88D  A9 55     LDA #$55                        A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C88F  09 AA     ORA #$AA                        A:55 X:00 Y:00 P:6C SP:FB STACK: 00 00 C6 05
C891  B0 0B     BCS $C89E                       A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C893  10 09     BPL $C89E                       A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C895  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:EC SP:FB STACK: 00 00 C6 05
C897  D0 05     BNE $C89E                       A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C899  50 03     BVC $C89E                       A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C89B  4C A2 C8  JMP $C8A2                       A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8A2  EA        NOP                             A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8A3  38        SEC                             A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8A4  B8        CLV                             A:FF X:00 Y:00 P:6F SP:FB STACK: 00 00 C6 05
C8A5  A9 00     LDA #$00                        A:FF X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8A7  09 00     ORA #$00                        A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8A9  D0 09     BNE $C8B4                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8AB  70 07     BVS $C8B4                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8AD  90 05     BCC $C8B4                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8AF  30 03     BMI $C8B4                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8B1  4C B8 C8  JMP $C8B8                       A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8B8  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8B9  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB STACK: 00 00 C6 05
C8BA  24 01     BIT $01 = FF                    A:00 X:00 Y:00 P:2E SP:FB STACK: 00 00 C6 05
C8BC  A9 55     LDA #$55                        A:00 X:00 Y:00 P:EE SP:FB STACK: 00 00 C6 05
C8BE  29 AA     AND #$AA                        A:55 X:00 Y:00 P:6C SP:FB STACK: 00 00 C6 05
