90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F9 P:A5 SP:FD CYCLES: 217 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F9 P:A4 SP:FD CYCLES: 219 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F9 P:A4 SP:FD CYCLES: 222 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F9 P:25 SP:FD CYCLES: 224 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F9 = 00  A:00 X:07 Y:F9 P:25 SP:FD CYCLES: 227 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F9 P:25 SP:FD CYCLES: 233 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F8 P:A5 SP:FD CYCLES: 235 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F8 P:A4 SP:FD CYCLES: 237 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F8 P:A4 SP:FD CYCLES: 240 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F8 P:25 SP:FD CYCLES: 242 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F8 = 00  A:00 X:07 Y:F8 P:25 SP:FD CYCLES: 245 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F8 P:25 SP:FD CYCLES: 251 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F7 P:A5 SP:FD CYCLES: 253 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F7 P:A4 SP:FD CYCLES: 255 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F7 P:A4 SP:FD CYCLES: 258 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F7 P:25 SP:FD CYCLES: 260 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F7 = 00  A:00 X:07 Y:F7 P:25 SP:FD CYCLES: 263 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F7 P:25 SP:FD CYCLES: 269 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F6 P:A5 SP:FD CYCLES: 271 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F6 P:A4 SP:FD CYCLES: 273 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F6 P:A4 SP:FD CYCLES: 276 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F6 P:25 SP:FD CYCLES: 278 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F6 = 00  A:00 X:07 Y:F6 P:25 SP:FD CYCLES: 281 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F6 P:25 SP:FD CYCLES: 287 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F5 P:A5 SP:FD CYCLES: 289 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F5 P:A4 SP:FD CYCLES: 291 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F5 P:A4 SP:FD CYCLES: 294 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F5 P:25 SP:FD CYCLES: 296 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F5 = 00  A:00 X:07 Y:F5 P:25 SP:FD CYCLES: 299 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F5 P:25 SP:FD CYCLES: 305 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F4 P:A5 SP:FD CYCLES: 307 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F4 P:A4 SP:FD CYCLES: 309 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F4 P:A4 SP:FD CYCLES: 312 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F4 P:25 SP:FD CYCLES: 314 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F4 = 00  A:00 X:07 Y:F4 P:25 SP:FD CYCLES: 317 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F4 P:25 SP:FD CYCLES: 323 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F3 P:A5 SP:FD CYCLES: 325 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F3 P:A4 SP:FD CYCLES: 327 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F3 P:A4 SP:FD CYCLES: 330 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F3 P:25 SP:FD CYCLES: 332 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F3 = 00  A:00 X:07 Y:F3 P:25 SP:FD CYCLES: 335 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F3 P:25 SP:FD CYCLES: 341 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F2 P:A5 SP:FD CYCLES: 343 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F2 P:A4 SP:FD CYCLES: 345 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F2 P:A4 SP:FD CYCLES: 348 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F2 P:25 SP:FD CYCLES: 350 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F2 = 00  A:00 X:07 Y:F2 P:25 SP:FD CYCLES: 353 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F2 P:25 SP:FD CYCLES: 359 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F1 P:A5 SP:FD CYCLES: 361 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F1 P:A4 SP:FD CYCLES: 363 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F1 P:A4 SP:FD CYCLES: 366 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F1 P:25 SP:FD CYCLES: 368 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F1 = 00  A:00 X:07 Y:F1 P:25 SP:FD CYCLES: 371 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F1 P:25 SP:FD CYCLES: 377 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:F0 P:A5 SP:FD CYCLES: 379 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:F0 P:A4 SP:FD CYCLES: 381 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:F0 P:A4 SP:FD CYCLES: 384 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:F0 P:25 SP:FD CYCLES: 386 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07F0 = 00  A:00 X:07 Y:F0 P:25 SP:FD CYCLES: 389 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:F0 P:25 SP:FD CYCLES: 395 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:EF P:A5 SP:FD CYCLES: 397 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:EF P:A4 SP:FD CYCLES: 399 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:EF P:A4 SP:FD CYCLES: 402 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:EF P:25 SP:FD CYCLES: 404 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07EF = 00  A:00 X:07 Y:EF P:25 SP:FD CYCLES: 407 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:EF P:25 SP:FD CYCLES: 413 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:EE P:A5 SP:FD CYCLES: 415 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:EE P:A4 SP:FD CYCLES: 417 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:EE P:A4 SP:FD CYCLES: 420 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:EE P:25 SP:FD CYCLES: 422 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07EE = 00  A:00 X:07 Y:EE P:25 SP:FD CYCLES: 425 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:EE P:25 SP:FD CYCLES: 431 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:ED P:A5 SP:FD CYCLES: 433 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:ED P:A4 SP:FD CYCLES: 435 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:ED P:A4 SP:FD CYCLES: 438 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:ED P:25 SP:FD CYCLES: 440 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07ED = 00  A:00 X:07 Y:ED P:25 SP:FD CYCLES: 443 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:ED P:25 SP:FD CYCLES: 449 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:EC P:A5 SP:FD CYCLES: 451 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:EC P:A4 SP:FD CYCLES: 453 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:EC P:A4 SP:FD CYCLES: 456 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:EC P:25 SP:FD CYCLES: 458 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07EC = 00  A:00 X:07 Y:EC P:25 SP:FD CYCLES: 461 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:EC P:25 SP:FD CYCLES: 467 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:EB P:A5 SP:FD CYCLES: 469 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:EB P:A4 SP:FD CYCLES: 471 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:EB P:A4 SP:FD CYCLES: 474 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:EB P:25 SP:FD CYCLES: 476 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07EB = 00  A:00 X:07 Y:EB P:25 SP:FD CYCLES: 479 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:EB P:25 SP:FD CYCLES: 485 STACK: 80 2D
90DF  C0 FF     CPY #$FF                        A:00 X:07 Y:EA P:A5 SP:FD CYCLES: 487 STACK: 80 2D
90E1  D0 F1     BNE $90D4                       A:00 X:07 Y:EA P:A4 SP:FD CYCLES: 489 STACK: 80 2D
90D4  E0 01     CPX #$01                        A:00 X:07 Y:EA P:A4 SP:FD CYCLES: 492 STACK: 80 2D
90D6  D0 04     BNE $90DC                       A:00 X:07 Y:EA P:25 SP:FD CYCLES: 494 STACK: 80 2D
90DC  91 06     STA ($06),Y = 0700 @ 07EA = 00  A:00 X:07 Y:EA P:25 SP:FD CYCLES: 497 STACK: 80 2D
90DE  88        DEY                             A:00 X:07 Y:EA P:25 SP:FD CYCLES: 503 STACK: 80 2D
